"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"214","Gundel",6,"1933 2010 ","Hans-Pavia",7,"1944 2000"
"215","Gundil",6,"1932 2001 ","Hans-Peter",31,"1951 2009"
"217","Gunhild",6,"1928 2009 ","Hanseeraq",9,"1987 2010"
"218","Haldora",25,"1926 2010 ","Hanseraq",10,"1947 1990"
"219","Hanna",7,"1916 2007 ","Hansinguaq",5,"1957 1990"
"220","Hannah",9,"1992 2009 ","Hansinnguaq",10,"1987 2010"
"221","Hanne",109,"1932 2010 ","Harald",47,"1930 2010"
"222","Hansigne",53,"1929 2010 ","Harry",10,"1934 2005"
"223","Hansine",161,"1924 2010 ","Heinrich",15,"1957 2009"
"224","Hedvig",31,"1928 2010 ","Helge",19,"1942 2010"
"225","Heide",7,"1977 2004 ","Hendrik",106,"1923 2010"
"226","Heidi",85,"1950 2010 ","Henning",88,"1929 2010"
"227","Helda",5,"1953 2009 ","Henrik",168,"1935 2010"
"228","Helena",15,"1928 2007 ","Henry",16,"1921 2000"
"229","Helene",205,"1918 2010 ","Herluf",6,"1951 2002"
"230","Helga",65,"1924 2010 ","Herman",7,"1926 2005"
"231","Helle",42,"1951 2008 ","Hermann",16,"1940 2008"
"232","Hendrine",14,"1950 2005 ","Hjalmar",7,"1943 2007"
"233","Henni",5,"1950 2003 ","Holger",41,"1930 2010"
"234","Henriethe",17,"1934 2005 ","Hoseas",5,"1929 1999"
"235","Henriette",52,"1923 2009 ","Hvidtfeldt",10,"1942 2008"
"236","Hilda",39,"1925 2010 ","Ian",24,"1957 2010"
"237","Iben",6,"1955 2007 ","Ib",40,"1932 2010"
"238","Ida",66,"1925 2010 ","Ignatius",7,"1939 2009"
"239","Ikiuna",6,"1988 2009 ","Ilanguaq",13,"1947 1994"
"240","Iluna",5,"1940 2004 ","Ilannguaq",60,"1963 2010"
"241","Iluuna",25,"1994 2010 ","Ilasiaq",24,"1966 2009"
"242","Ina",20,"1967 2010 ","Ilatsiaq",7,"1992 2010"
"243","Inaluk",45,"1942 2010 ","Imina",6,"1956 1994"
"244","Inequ",5,"1983 2008 ","Inequ",5,"1990 2009"
"245","Inga",20,"1937 2006 ","Ingo",11,"1954 2009"
"246","Inge",51,"1943 2009 ","Ingvar",11,"1935 2009"
"247","Ingeborg",32,"1924 2010 ","Inooraq",11,"1981 2010"
"248","Ingelise",5,"1939 1990 ","Inuk",78,"1956 2010"
"249","Inger",121,"1927 2010 ","Inukitsoq",5,"1947 1998"
"250","Ingrid",53,"1935 2009 ","Inunnguaq",126,"1967 2010"
"251","Inuk",5,"1956 2009 ","Inutsiaq",39,"1986 2010"
"252","Inunnguaq",5,"1984 2006 ","Inuujuk",6,"1989 2008"
"253","Inuuna",9,"1991 2010 ","Inuuteq",49,"1969 2010"
"254","Irena",6,"1949 2002 ","Isaias",7,"1940 2004"
"255","Irene",19,"1937 2007 ","Isak",177,"1924 2010"
"256","Isabell",5,"1990 2010 ","Ivaaq",10,"1986 2010"
"257","Isabella",48,"1984 2010 ","Ivan",34,"1936 2010"
"258","Isakke",5,"1934 2007 ","Iver",5,"1929 2009"
"259","Ivaana",59,"1990 2010 ","Ivik",70,"1939 2010"
"260","Ivalo",73,"1956 2010 ","Jaaku",11,"1957 2008"
"261","Ivalu",105,"1959 2010 ","Jack",10,"1963 2008"
"262","Ivana",8,"1983 2010 ","Jacob",83,"1927 2008"
"263","Ivik",5,"1980 2010 ","Jafet",14,"1929 2008"
"264","Ivinnguaq",23,"1988 2010 ","Jaffet",7,"1931 2006"
